20170201 051100;1.260150;1.260220;1.260080;1.260140;0
20170201 051200;1.260140;1.260360;1.260100;1.260190;0
20170201 051300;1.260210;1.260530;1.260200;1.260300;0
20170201 051400;1.260300;1.260690;1.260080;1.260640;0
20170201 051500;1.260620;1.260710;1.260310;1.260540;0
20170201 051600;1.260560;1.260820;1.260560;1.260820;0
20170201 051700;1.260790;1.260790;1.260640;1.260790;0
20170201 051800;1.260780;1.260810;1.260500;1.260670;0
20170201 051900;1.260640;1.260940;1.260630;1.260810;0
20170201 052000;1.260780;1.260820;1.260530;1.260550;0
20170201 052100;1.260570;1.260980;1.260480;1.260960;0
20170201 052200;1.260940;1.261000;1.260930;1.260930;0
20170201 052300;1.260960;1.261020;1.260890;1.260960;0
20170201 052400;1.260950;1.261000;1.260920;1.260990;0
20170201 052500;1.260980;1.261250;1.260960;1.261110;0
20170201 052600;1.261100;1.261410;1.261080;1.261400;0
20170201 052700;1.261390;1.261460;1.261020;1.261020;0
20170201 052800;1.261000;1.261000;1.260660;1.260780;0
20170201 052900;1.260770;1.260900;1.260710;1.260800;0
20170201 053000;1.260780;1.260780;1.260310;1.260330;0
20170201 053100;1.260360;1.260510;1.260210;1.260220;0
20170201 053200;1.260210;1.260380;1.259900;1.259980;0
20170201 053300;1.259980;1.260720;1.259980;1.260690;0
20170201 053400;1.260670;1.261240;1.260660;1.261140;0
20170201 053500;1.261150;1.261170;1.260680;1.260980;0
20170201 053600;1.260990;1.261630;1.260990;1.261510;0
20170201 053700;1.261530;1.261540;1.261210;1.261270;0
20170201 053800;1.261290;1.261660;1.261270;1.261650;0
20170201 053900;1.261680;1.261790;1.261490;1.261790;0
20170201 054000;1.261780;1.261840;1.261510;1.261770;0
20170201 054100;1.261770;1.262210;1.261770;1.262130;0
20170201 054200;1.262110;1.262230;1.261910;1.262220;0
20170201 054300;1.262270;1.262270;1.261460;1.261750;0
20170201 054400;1.261780;1.262240;1.261740;1.262240;0
20170201 054500;1.262290;1.262380;1.262030;1.262280;0
20170201 054600;1.262310;1.262780;1.262200;1.262540;0
20170201 054700;1.262560;1.262850;1.262560;1.262790;0
20170201 054800;1.262790;1.262790;1.262190;1.262430;0
20170201 054900;1.262450;1.262510;1.261990;1.261990;0
20170201 055000;1.261900;1.262300;1.261780;1.261870;0
20170201 055100;1.261850;1.261850;1.261290;1.261450;0
20170201 055200;1.261480;1.261510;1.261330;1.261400;0
20170201 055300;1.261430;1.261810;1.261430;1.261800;0
20170201 055400;1.261800;1.262190;1.261800;1.262100;0
20170201 055500;1.262110;1.262300;1.262090;1.262120;0
20170201 055600;1.262100;1.262450;1.261720;1.261750;0
20170201 055700;1.261770;1.262120;1.261770;1.262090;0
20170201 055800;1.262090;1.262120;1.262060;1.262110;0
20170201 055900;1.262120;1.262590;1.261720;1.262490;0
20170201 060000;1.262510;1.262840;1.262510;1.262610;0
20170201 060100;1.262610;1.262630;1.261900;1.262300;0
20170201 060200;1.262310;1.262480;1.262030;1.262070;0
20170201 060300;1.262080;1.262210;1.261860;1.261920;0
20170201 060400;1.261940;1.262020;1.261800;1.261830;0
20170201 060500;1.261890;1.261950;1.261760;1.261820;0
20170201 060600;1.261820;1.261820;1.261190;1.261430;0
20170201 060700;1.261520;1.262120;1.261520;1.262020;0
20170201 060800;1.262020;1.262360;1.262000;1.262240;0
20170201 060900;1.262230;1.262330;1.262030;1.262030;0
20170201 061000;1.262010;1.262230;1.261890;1.262210;0
20170201 061100;1.262230;1.262330;1.262030;1.262230;0
20170201 061200;1.262250;1.262840;1.262250;1.262650;0
20170201 061300;1.262680;1.262690;1.262000;1.262320;0
20170201 061400;1.262340;1.262430;1.262120;1.262320;0
20170201 061500;1.262320;1.262320;1.261900;1.261920;0
20170201 061600;1.261920;1.261950;1.261840;1.261950;0
20170201 061700;1.261940;1.262000;1.261840;1.261960;0
20170201 061800;1.261960;1.262070;1.261840;1.261930;0
20170201 061900;1.261920;1.262620;1.261840;1.262280;0
20170201 062000;1.262300;1.262860;1.262300;1.262650;0
20170201 062100;1.262630;1.262980;1.262540;1.262760;0
20170201 062200;1.262780;1.262930;1.262780;1.262930;0
20170201 062300;1.262940;1.262990;1.262610;1.262920;0
20170201 062400;1.262890;1.263130;1.262820;1.263130;0
20170201 062500;1.263110;1.263180;1.262910;1.263180;0
20170201 062600;1.263160;1.263330;1.263060;1.263300;0
20170201 062700;1.263330;1.263450;1.263240;1.263290;0
20170201 062800;1.263280;1.263280;1.263030;1.263200;0
20170201 062900;1.263210;1.263600;1.263210;1.263450;0
20170201 063000;1.263470;1.263600;1.263200;1.263200;0
20170201 063100;1.263200;1.263620;1.263180;1.263490;0
20170201 063200;1.263500;1.263720;1.263400;1.263410;0
20170201 063300;1.263400;1.263420;1.262910;1.262910;0
20170201 063400;1.262920;1.262990;1.262780;1.262970;0
20170201 063500;1.262980;1.263140;1.262970;1.263000;0
20170201 063600;1.263000;1.263290;1.262980;1.263190;0
20170201 063700;1.263190;1.263320;1.263080;1.263230;0
20170201 063800;1.263210;1.263390;1.263170;1.263320;0
20170201 063900;1.263300;1.263300;1.262980;1.263130;0
20170201 064000;1.263120;1.263120;1.263010;1.263060;0
20170201 064100;1.263060;1.263060;1.262990;1.263020;0
20170201 064200;1.263010;1.263010;1.262790;1.262820;0
20170201 064300;1.262810;1.263160;1.262660;1.263070;0
20170201 064400;1.263170;1.263480;1.263170;1.263480;0
20170201 064500;1.263520;1.263610;1.263430;1.263610;0
20170201 064600;1.263630;1.263640;1.263490;1.263530;0
20170201 064700;1.263570;1.263800;1.263550;1.263680;0
20170201 064800;1.263680;1.263680;1.263380;1.263430;0
20170201 064900;1.263440;1.263560;1.263360;1.263530;0
20170201 065000;1.263560;1.264290;1.263560;1.264250;0
20170201 065100;1.264270;1.264270;1.264030;1.264160;0
20170201 065200;1.264170;1.264360;1.264100;1.264190;0
20170201 065300;1.264190;1.264430;1.264190;1.264390;0
20170201 065400;1.264510;1.264800;1.264390;1.264570;0
20170201 065500;1.264560;1.264660;1.263910;1.264130;0
20170201 065600;1.264160;1.264730;1.264160;1.264730;0
20170201 065700;1.264710;1.264920;1.264710;1.264890;0
20170201 065800;1.264880;1.264880;1.264480;1.264800;0
20170201 065900;1.264790;1.265090;1.264790;1.264970;0
20170201 070000;1.264970;1.265260;1.264930;1.265080;0
20170201 070100;1.265050;1.265150;1.264780;1.264820;0
20170201 070200;1.264810;1.264950;1.264610;1.264700;0
20170201 070300;1.264730;1.264970;1.264590;1.264870;0
20170201 070400;1.264880;1.264900;1.264300;1.264460;0
20170201 070500;1.264490;1.264610;1.264050;1.264110;0
20170201 070600;1.264080;1.264370;1.264030;1.264110;0
20170201 070700;1.264130;1.264630;1.264130;1.264590;0
20170201 070800;1.264580;1.264590;1.264320;1.264530;0
20170201 070900;1.264510;1.264930;1.263980;1.264080;0
20170201 071000;1.264060;1.264280;1.264030;1.264160;0
20170201 071100;1.264160;1.264400;1.264100;1.264210;0
20170201 071200;1.264210;1.264330;1.264190;1.264310;0
20170201 071300;1.264310;1.264600;1.263900;1.264250;0
20170201 071400;1.264250;1.264320;1.264080;1.264140;0
