Time,Min,Max
20170102 120500,"1,22923","1,22925"
20170102 120600,"1,22923","1,22926"
20170102 120700,"1,22917","1,22917"
20170102 120800,"1,22917","1,22921"
20170102 120900,"1,22922","1,22925"
20170102 121000,"1,22918","1,22924"
20170102 121100,"1,22921","1,22921"
20170102 121200,"1,22918","1,22918"
20170102 121300,"1,22917","1,22923"
20170102 121400,"1,22917","1,22922"
20170102 121500,"1,22918","1,22918"
20170102 121600,"1,22854","1,22891"
20170102 121700,"1,22854","1,22869"
20170102 121800,"1,22867","1,22867"
20170102 121900,"1,22867","1,22867"
20170102 122000,"1,22854","1,22871"
20170102 122100,"1,22869","1,22871"
20170102 122200,"1,22869","1,22879"
20170102 122300,"1,22868","1,22868"
20170102 122400,"1,22868","1,22869"
20170102 122500,"1,22888","1,22898"
20170102 122600,"1,22888","1,2289"
20170102 122700,"1,2288","1,2288"
20170102 122800,"1,22867","1,22879"
20170102 122900,"1,22863","1,22863"
20170102 123000,"1,22863","1,22876"
20170102 123100,"1,22867","1,22884"
20170102 123200,"1,22832","1,22832"
20170102 123300,"1,22833","1,22867"
20170102 123400,"1,22867","1,22867"
20170102 123500,"1,22867","1,22867"
20170102 123600,"1,22867","1,22874"
20170102 123700,"1,22867","1,22867"
20170102 123800,"1,22867","1,22867"
20170102 123900,"1,22867","1,22867"
20170102 124000,"1,22867","1,22867"
20170102 124100,"1,22867","1,22867"
20170102 124200,"1,22867","1,22867"
20170102 124300,"1,22892","1,22892"
20170102 124400,"1,22874","1,22874"
20170102 124500,"1,22874","1,22874"
20170102 124600,"1,22873","1,22873"
20170102 124700,"1,22861","1,22861"
20170102 124800,"1,22858","1,22858"
20170102 124900,"1,22839","1,22862"
20170102 125000,"1,2286","1,2286"
20170102 125100,"1,22844","1,22858"
20170102 125200,"1,22847","1,2286"
20170102 125300,"1,22822","1,22822"
20170102 125400,"1,22818","1,22818"
20170102 125500,"1,22814","1,22819"
20170102 125600,"1,22818","1,22821"
20170102 125700,"1,22808","1,22808"
20170102 125800,"1,22809","1,22809"
20170102 125900,"1,2279","1,22808"
20170102 130100,"1,2279","1,22798"
20170102 130200,"1,22809","1,22809"
20170102 130300,"1,22808","1,22809"
20170102 130400,"1,22783","1,22817"
20170102 130500,"1,22816","1,22817"
20170102 130600,"1,22777","1,22808"
20170102 130700,"1,22785","1,22816"
20170102 130800,"1,22809","1,22809"
20170102 130900,"1,22808","1,22808"
20170102 131100,"1,22843","1,22858"
20170102 131200,"1,22858","1,22858"
20170102 131300,"1,22858","1,22858"
20170102 131400,"1,22839","1,22839"
20170102 131500,"1,22839","1,22839"
20170102 131600,"1,22839","1,22839"
20170102 131700,"1,22839","1,22856"
20170102 131800,"1,22856","1,22856"
20170102 131900,"1,22843","1,22843"
20170102 132000,"1,22843","1,22843"
20170102 132100,"1,22843","1,22844"
20170102 132200,"1,22844","1,22844"
20170102 132300,"1,22839","1,22844"
20170102 132400,"1,22844","1,22844"
20170102 132500,"1,22844","1,22844"
20170102 132600,"1,22844","1,22845"
20170102 132700,"1,22839","1,22839"
20170102 132800,"1,22839","1,22839"
20170102 132900,"1,22837","1,22843"
20170102 133000,"1,22804","1,22811"
20170102 133100,"1,22804","1,22814"
20170102 133200,"1,22802","1,22817"
20170102 133300,"1,22797","1,22812"
20170102 133400,"1,22797","1,22804"
20170102 133500,"1,2279","1,22804"
20170102 133600,"1,22787","1,22787"
20170102 133800,"1,22784","1,22785"
20170102 133900,"1,22788","1,22801"
20170102 134000,"1,22784","1,22812"
20170102 134100,"1,2279","1,22807"
20170102 134200,"1,2279","1,22807"
20170102 134300,"1,22793","1,22809"
20170102 134400,"1,22789","1,22809"
20170102 134500,"1,22789","1,22809"
20170102 134600,"1,22784","1,22803"
20170102 134700,"1,228","1,22803"
20170102 134800,"1,22794","1,22807"
20170102 134900,"1,22801","1,22812"
20170102 135000,"1,22805","1,22805"
20170102 135100,"1,22789","1,228"
20170102 135200,"1,22789","1,22809"
20170102 135300,"1,22786","1,22816"
20170102 135400,"1,22793","1,22857"
20170102 135500,"1,22798","1,22811"
20170102 135600,"1,22794","1,22794"
20170102 135700,"1,22785","1,22808"
20170102 135800,"1,22793","1,22815"
20170102 135900,"1,22793","1,22793"
20170102 140000,"1,22804","1,22804"
20170102 140100,"1,22796","1,22811"
20170102 140200,"1,22793","1,22819"
20170102 140300,"1,22807","1,22831"
20170102 140400,"1,22826","1,22836"
20170102 140500,"1,22835","1,22835"
20170102 140600,"1,22829","1,2283"
20170102 140700,"1,22815","1,22833"
20170102 140800,"1,22824","1,22831"
20170102 140900,"1,22815","1,22829"
20170102 141000,"1,22815","1,22828"
20170102 141100,"1,22817","1,22828"
20170102 141200,"1,22821","1,22828"
20170102 141300,"1,22815","1,22815"
20170102 141400,"1,22823","1,22823"
20170102 141500,"1,22823","1,22829"
20170102 141600,"1,22829","1,22829"
20170102 141800,"1,22803","1,22829"
20170102 142000,"1,22815","1,22828"
20170102 142200,"1,22815","1,22815"
20170102 142300,"1,22815","1,22815"
20170102 142400,"1,22815","1,22815"
20170102 142500,"1,22815","1,22815"
20170102 142600,"1,22815","1,22815"
20170102 142700,"1,22815","1,2283"
20170102 142800,"1,22815","1,22829"
